IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
FSCN3,-0.329054858,-0.329892375,-0.30700808,-0.320970639,-0.327166372,-0.327653721,-0.330428835,-0.33324362,-0.321609681,-0.328616773,-0.325251967,-0.3161932,FALSE
GART,0.492404583,0.469377843,0.356187511,0.25368347,0.275840415,0.308414195,0.526227379,0.496729093,0.534745477,0.504650666,0.446973087,0.446739368,FALSE
CBL,-0.25510003,-0.19729036,-0.237071713,-0.196834518,-0.204007723,-0.187138364,-0.196582678,-0.223167619,-0.190658431,-0.147626131,-0.145227618,-0.084789279,TRUE
SYT7,-0.318408386,-0.329074476,-0.317244006,-0.324182872,-0.32069436,-0.323180706,-0.152132545,-0.184582234,-0.151624297,-0.11164066,-0.121090576,-0.098445128,FALSE
LGALS1,10.20157751,8.981537701,10.79682229,11.58435283,11.58001989,10.73237615,3.962444236,5.300803401,3.805812979,3.189318684,3.168936873,3.51532023,TRUE
DEFB125,-0.321930716,-0.321471611,-0.324072882,-0.320637576,-0.320615503,-0.322126829,-0.31924014,-0.315798481,-0.323461894,-0.316217516,-0.312787654,-0.297202469,FALSE
MYO9A,-0.28352074,-0.272707639,-0.280421189,-0.269758537,-0.268122773,-0.274014051,-0.247600356,-0.265791978,-0.273699068,-0.249418992,-0.250194444,-0.240093166,FALSE
BAK1,-0.273212881,-0.268864044,-0.260810729,-0.293274544,-0.294957909,-0.288837798,-0.243738898,-0.225740917,-0.243319641,-0.272643853,-0.290159793,-0.301378675,TRUE
KIF20B,0.32804276,0.34027572,0.286240672,0.186074827,0.269878354,0.275034319,0.374499632,0.575353861,0.421057385,0.197797988,0.271154969,0.370208014,FALSE
SUMO1,-0.272651216,-0.185742081,-0.21651746,-0.257589682,-0.269795578,-0.215153253,-0.222620136,-0.247015344,-0.150169084,-0.229992063,-0.239891493,-0.183722066,FALSE
HLA-C,-0.310977566,-0.319052984,-0.310900922,-0.312438527,-0.313344118,-0.304520223,-0.29589718,-0.30300453,-0.292263258,-0.278527614,-0.293258853,-0.259598007,FALSE
KIAA0391,0.217533274,0.133721345,0.116341456,0.304211429,0.284708422,0.188415488,0.082388877,0.028777323,0.04576936,0.132118333,0.139178526,0.15608149,FALSE
PANX2,-0.223252493,-0.251516343,-0.220543271,-0.195300675,-0.223512798,-0.199833339,-0.31244212,-0.320094692,-0.292138036,-0.296198006,-0.299945498,-0.289737072,FALSE
GPAT3,-0.208876181,-0.195897269,-0.211391474,-0.2919401,-0.286912532,-0.270608464,-0.215755757,-0.184652205,-0.194046716,-0.265693257,-0.257738993,-0.248326748,FALSE
MAGEA2,-0.326057856,-0.325378291,-0.322057278,-0.323301594,-0.327609259,-0.326046527,-0.298737115,-0.287679538,-0.303249705,-0.278040624,-0.287189189,-0.291271492,FALSE
ACAD10,-0.274854324,-0.277282577,-0.271051706,-0.244282131,-0.244909265,-0.252318649,-0.306102435,-0.309866797,-0.292849181,-0.294916299,-0.2943238,-0.291390443,FALSE
ZDHHC7,0.540682085,0.672436735,0.452860381,0.428192705,0.401261262,0.231039455,1.525542354,1.966811407,1.129207064,1.155104296,1.154558833,0.802322098,FALSE
PTPRH,-0.308604542,-0.298599993,-0.30777634,-0.297529863,-0.29112458,-0.299409976,-0.323736015,-0.32399806,-0.321964426,-0.322151938,-0.324456132,-0.318819581,TRUE
CYTH3,-0.300516478,-0.305457018,-0.293590456,-0.29966994,-0.297685118,-0.306128188,-0.189697178,-0.214538419,-0.224205274,-0.242488661,-0.236391948,-0.260899972,FALSE
TES,-0.3206389,-0.321873376,-0.321505108,-0.321662573,-0.322154548,-0.328434843,-0.274287072,-0.268537806,-0.260531853,-0.280450125,-0.284533754,-0.264398133,FALSE
DENND5B,-0.129466036,-0.096725145,-0.138708222,-0.135333249,-0.162042547,-0.176497492,-0.286428402,-0.285222126,-0.282587625,-0.291375867,-0.282648521,-0.272984717,FALSE
RFK,-0.307361989,-0.294677573,-0.292559626,-0.315953876,-0.320059513,-0.312633971,-0.310262222,-0.315462229,-0.291280524,-0.313714534,-0.312049404,-0.301182698,TRUE
RPS24,6.706996067,8.028463895,7.499792763,6.359907621,6.130605073,6.90157648,6.505533408,6.131561852,6.673494838,6.13971044,5.886754256,6.547424068,FALSE
UBA1,0.10055398,0.116267776,0.137718341,0.211102765,0.207563984,0.22671272,0.01366265,-0.000273842,-0.042021098,0.020995506,0.05496993,0.035071216,FALSE
NASP,-0.175716527,-0.216721738,-0.18593341,-0.165175264,-0.168244146,-0.183207864,-0.122128205,-0.121109711,-0.140667211,-0.164033922,-0.141936056,-0.169860733,FALSE
IQSEC1,-0.304317402,-0.278833704,-0.297697693,-0.285479699,-0.28268437,-0.28362003,-0.305892333,-0.295982169,-0.304635371,-0.290876501,-0.285284664,-0.305209728,FALSE
GPR179,-0.32091536,-0.320501868,-0.318297839,-0.323514628,-0.328262969,-0.331716158,-0.324842301,-0.301060465,-0.320297187,-0.32152773,-0.324662235,-0.314858657,FALSE
ZAK,0.530656804,0.613482392,0.553331165,0.434800891,0.388012482,0.293386854,0.664618286,0.732903122,0.693375912,0.718890013,0.976727195,0.692903215,TRUE
RALGPS2,-0.298887247,-0.304077,-0.263076985,-0.28570868,-0.26914099,-0.282277881,-0.275494146,-0.299516186,-0.278531843,-0.275747521,-0.271785643,-0.260070727,FALSE
MPPE1,-0.101499349,-0.073437484,-0.075272518,-0.022346708,-0.028730155,-0.018724225,0.428266201,0.253035194,0.275800234,0.148258711,0.105595913,0.18369081,FALSE
NFIC,-0.225844093,-0.245192023,-0.239179559,-0.217209507,-0.227539076,-0.253504669,-0.228580837,-0.219059273,-0.205953672,-0.244789927,-0.240842776,-0.22383767,FALSE
MICB,-0.194096538,-0.227860318,-0.158744329,-0.169191012,-0.119930133,-0.129975132,-0.030396053,-0.010704438,-0.016633781,-0.003979162,-0.005682754,-0.078742519,TRUE
FEN1,0.660600633,0.658699999,0.558433699,0.342902989,0.446745878,0.612615991,0.825521965,0.870891761,0.709011564,0.745471482,0.794595427,0.88686522,FALSE
SRSF9,2.328433473,2.81023821,2.611656656,2.240245837,2.566934778,2.414702973,2.106559255,2.050198735,2.121882378,1.9590184,1.955413941,1.915996478,FALSE
KIAA0196,0.319163577,0.349763969,0.351991629,0.907672087,0.950204555,0.811210004,-0.204110447,-0.205117752,-0.218063843,-0.083409474,-0.071730295,-0.10894853,FALSE
STOX1,-0.307981785,-0.306012255,-0.308938455,-0.291183039,-0.289670874,-0.291315267,-0.194019962,-0.186348098,-0.123090648,-0.193563097,-0.194592728,-0.138966244,FALSE
NACA,7.370858899,9.888373787,7.214365761,6.197637967,7.126113272,7.36780809,8.333675258,8.812531994,8.640780883,7.48872956,7.536438084,6.891472933,FALSE
MRPL20,0.618502592,0.579357609,0.735455966,0.254744621,0.25888198,0.305622251,0.148023569,0.23233247,0.146333508,0.060445202,0.142455258,0.12071427,FALSE
BANP,0.088141527,-0.069626188,0.147204771,0.062005903,0.008062383,0.064650799,0.106411739,0.050697957,0.023796115,0.137255772,0.049499258,0.126255975,FALSE
SEC24C,0.070153498,0.078761057,0.11109492,0.063906773,0.073911942,0.152205836,0.04348793,0.018437594,-0.041232241,0.028855527,0.000143673,-0.029613052,FALSE
VPS41,0.091667458,0.058064131,0.013907383,0.080138486,0.055773585,0.018327677,0.034683477,-0.001909927,0.001656749,-0.006641362,-0.023467678,-0.043987543,FALSE
BRF2,-0.070801119,0.003458248,-0.046733933,-0.179488943,-0.136829599,-0.116004835,-0.186538925,-0.187541865,-0.21374806,-0.246972099,-0.240615637,-0.247394396,FALSE
PTDSS1,1.14962172,1.149056309,1.300145934,1.073911473,1.063541589,1.341021028,0.278830132,0.293903992,0.153834768,0.272538601,0.323388801,0.112140287,FALSE
OVCA2,-0.294598997,-0.293852792,-0.291633898,-0.302728861,-0.304419998,-0.311061099,-0.315020911,-0.305516546,-0.312146414,-0.314503749,-0.319153028,-0.320257524,FALSE
PALD1,-0.260489852,-0.255020028,-0.229199103,-0.286970448,-0.271120652,-0.273297242,-0.300399037,-0.300580106,-0.277041449,-0.298432126,-0.282951634,-0.279478275,FALSE
