IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
TOMM34,1683.76,1340.87,1710.75,1782.29,1674.87,1759.92,1465.3,1559.46,2104.54,1284.63,1364.45,1216.65,FALSE
MAGEA4,101.19525,96.9381,101.672,97.2382,92.48115,93.55875,95.80805,97.2929,101.7469,98.2973,94.2189,99.01755,FALSE
LGI4,97.0664,99.8125,104.378,104.378,107.398,104.397,100.92,97.2462,95.7414,96.314,100.067,100.663,FALSE
SEC62,217.566,214.203,193.505,197.404,198.684,173.836,175.691,180.527,163.607,137.813,154.443,143.769,FALSE
DEPDC5,102.6953333,104.2493,104.7261,100.2883667,104.8678,99.72016667,111.3195333,105.9031333,108.6083667,104.8486,111.9148333,105.4746,FALSE
HIST2H3A,113.319,107.502,109.234,106.973,93.689,94.26,91.2877,109.475,88.4524,97.913,97.1252,106.943,FALSE
PCDHB13,99.1422,104.729,90.7147,98.3905,91.5066,97.3639,98.1991,93.6981,89.0632,104.781,92.0997,97.5492,FALSE
OR9K2,102.663,89.6997,87.6533,95.9079,96.8638,96.9868,99.8968,97.4682,94.3359,91.0626,91.785,97.6008,FALSE
VCAM1,107.8816667,96.75733333,108.0333,107.1128,101.7008667,115.1466667,102.168,97.34186667,98.2293,97.3275,101.8880333,97.60126667,FALSE
CD83,229.5455,247.151,240.1145,159.1585,165.326,177.905,131.18,131.548,140.484,128.9875,141.608,120.5678,FALSE
IGFBP6,119.13,99.6279,106.92,105.483,104.713,118.331,116.496,140.895,126.853,116.546,119.334,112.159,FALSE
GNPAT,709.548,711.278,735.698,755.343,712.887,710.008,844.581,760.755,823.192,796.964,756.185,564.948,FALSE
FTSJ1,243.3366667,293.0666667,262.5673333,231.139,226.6874,250.7892667,279.7595333,340.9313333,317.3443333,242.74,245.2083333,257.1683333,FALSE
OR12D3,102.1712,105.99805,108.3287,106.06675,100.33465,103.002,95.10885,96.18005,110.542,100.36685,105.31915,107.2355,FALSE
CARMIL1,343.509,228.2745,235.0355,393.373,362.877,221.0015,575.5995,508.074,631.494,651.358,633.6905,567.6655,FALSE
CD99,391.166,316.926,446.588,527.559,382.644,476.373,194.04,252.367,191.179,233.631,244.06,273.046,FALSE
C9orf72,138.7878,125.1232,120.47296,123.58956,121.9274,116.31688,120.13754,126.0056,123.3272,132.34366,130.0924,139.63896,FALSE
GPD1,98.5832,104.285,102.471,105.066,96.4906,96.8601,102.08,102.229,103.725,95.7559,92.5305,103.831,FALSE
IKBKAP,103.9961,105.8992,101.3024,111.975,104.491,112.6969,103.9687,103.442,104.47205,107.9128,110.8686,109.4384,FALSE
NPY5R,123.48325,153.4645,117.874,124.6445,117.471,123.895,115.255,126.17,116.5855,133.671,107.24425,116.3454,TRUE
DLAT,509.684,642.728,556.313,377.899,495.25,465.952,1206.22,1043.73,1154.36,932.613,1079.05,1044.15,FALSE
ZNF787,836.432,635.644,856.563,618.392,706.669,689.065,1110.23,1302.55,1270.21,865.029,816.675,903.157,FALSE
PRKRA,771.375,684.458,654.999,925.861,865.606,653.696,1386.73,1370.26,1455.21,1419.86,1512.72,1639.95,TRUE
ELP5,207.9445,197.15475,201.672,187.70425,192.3425,195.3205,129.21575,121.59235,138.688675,130.8581,131.3725,137.893,FALSE
POC5,462.177,426.011,442.106,412.625,496.401,424.466,299.032,297.792,285.312,288.306,301.474,330.895,FALSE
XRN1,324.754,355.246,313.39,501.832,479.254,411.125,271.854,246.122,232.753,333.143,309.586,346.95,FALSE
EID2,385.826,313.39,290.484,246.786,276.196,273.093,386.104,443.943,382.937,383.426,390.453,423.618,FALSE
CDHR1,105.059,111.365,99.7238,102.121,104.973,104.825,106.512,99.0235,107.28,113.767,97.2349,106.353,FALSE
RNF222,96.6536,99.614,97.74875,97.54425,93.34105,96.5744,91.90835,91.6831,107.767,97.926,90.00275,94.27725,FALSE
MCU,407.257,507.697,444.271,373.866,321.464,356.524,481.757,484.922,507.962,356.743,421.866,439.424,FALSE
UBP1,1104.46,1263.44,1033.67,1189.72,1201.2,1367.23,872.522,748.063,722.91,786.882,776.685,775.618,FALSE
ORC4,114.138,113.46,121.585,126.974,135.445,129.971,120.689,113.663,107.302,134.68,118.313,129.792,FALSE
IDH2,161.031,162.006,187.152,216.171,205.833,233.553,476.765,432.268,386.104,641.414,591.525,566.877,FALSE
ACADM,1295.905,1262.575,1231.16,1975.245,1849.125,1560.19,1270.66,1177.4515,1315.499,2086.56,2022.62,1469.62,FALSE
MYBPC1,104.125175,96.58505,105.077125,101.853975,101.592825,97.754625,103.636125,103.318125,102.06795,98.1702,98.8306,105.0355,FALSE
BARX1,113.739,101.065,101.256,105.422,102.733,101.504,108.479,110.071,103.838,103.19,99.6104,100.932,FALSE
UBAC1,1216.65,1281.73,1502.83,1859.22,1745.44,1733.41,1224.29,1031.47,1208.61,1097.36,1120.34,1142.4,FALSE
PHGDH,4491.27,3792.27,4552.6,4015.57,4081.2,3193.09,11914.4,10666.6,10045.5,14825.6,13657.5,12697.2,FALSE
PCK2,206.9443333,291.5226667,207.3716667,208.4376667,216.4023333,189.0386667,312.741,304.0596667,282.2976667,447.689,421.7603333,345.785,FALSE
CASP10,111.269,105.824,104.323,104.9956,111.4605,109.3283,112.2245,109.8352,109.6217,110.0735,111.3935,114.027,TRUE
FARSA,268.375,300.285,271.299,232.063,244.849,266.198,293.149,363.641,313.991,236.787,291.297,274.445,FALSE
AVPR1A,90.0225,90.8117,91.2946,88.707,90.9702,100.568,94.6193,92.1829,92.4107,95.6922,99.7736,92.6064,FALSE
